Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1689364675.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:2 > runtask.sh.2
1	:	1689364674.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:1 > runtask.sh.1
7	:	1689364680.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:7 > runtask.sh.7
6	:	1689364679.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:6 > runtask.sh.6
3	:	1689364676.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:3 > runtask.sh.3
8	:	1689364681.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:8 > runtask.sh.8
4	:	1689364677.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:4 > runtask.sh.4
10	:	1689364683.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:10 > runtask.sh.10
5	:	1689364678.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:5 > runtask.sh.5
16	:	1689364689.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:16 > runtask.sh.16
11	:	1689364684.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:11 > runtask.sh.11
9	:	1689364682.000	    20.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:9 > runtask.sh.9
12	:	1689364685.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:12 > runtask.sh.12
14	:	1689364687.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:14 > runtask.sh.14
13	:	1689364686.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:13 > runtask.sh.13
20	:	1689364693.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:20 > runtask.sh.20
17	:	1689364690.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:17 > runtask.sh.17
15	:	1689364688.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:15 > runtask.sh.15
21	:	1689364694.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:21 > runtask.sh.21
18	:	1689364691.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:18 > runtask.sh.18
24	:	1689364697.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:24 > runtask.sh.24
23	:	1689364696.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:23 > runtask.sh.23
19	:	1689364692.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:19 > runtask.sh.19
22	:	1689364695.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:22 > runtask.sh.22
27	:	1689364700.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:27 > runtask.sh.27
29	:	1689364702.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:29 > runtask.sh.29
26	:	1689364699.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:26 > runtask.sh.26
25	:	1689364698.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:25 > runtask.sh.25
32	:	1689364705.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:32 > runtask.sh.32
34	:	1689364707.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:34 > runtask.sh.34
28	:	1689364701.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:28 > runtask.sh.28
30	:	1689364703.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:30 > runtask.sh.30
37	:	1689364710.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:37 > runtask.sh.37
33	:	1689364706.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:33 > runtask.sh.33
31	:	1689364704.000	    19.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:31 > runtask.sh.31
36	:	1689364709.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:36 > runtask.sh.36
35	:	1689364708.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:35 > runtask.sh.35
43	:	1689364716.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:43 > runtask.sh.43
39	:	1689364712.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:39 > runtask.sh.39
38	:	1689364711.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:38 > runtask.sh.38
40	:	1689364713.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:40 > runtask.sh.40
48	:	1689364721.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:48 > runtask.sh.48
41	:	1689364714.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:41 > runtask.sh.41
44	:	1689364717.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:44 > runtask.sh.44
42	:	1689364715.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:42 > runtask.sh.42
46	:	1689364719.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:46 > runtask.sh.46
45	:	1689364718.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:45 > runtask.sh.45
53	:	1689364726.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:53 > runtask.sh.53
49	:	1689364722.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:49 > runtask.sh.49
54	:	1689364727.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:54 > runtask.sh.54
52	:	1689364725.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:52 > runtask.sh.52
56	:	1689364729.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:56 > runtask.sh.56
51	:	1689364724.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:51 > runtask.sh.51
47	:	1689364720.000	    20.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:47 > runtask.sh.47
50	:	1689364723.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:50 > runtask.sh.50
58	:	1689364731.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:58 > runtask.sh.58
57	:	1689364730.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:57 > runtask.sh.57
61	:	1689364734.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:61 > runtask.sh.61
55	:	1689364728.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:55 > runtask.sh.55
59	:	1689364732.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:59 > runtask.sh.59
63	:	1689364736.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:63 > runtask.sh.63
62	:	1689364735.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:62 > runtask.sh.62
66	:	1689364739.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:66 > runtask.sh.66
60	:	1689364733.000	    19.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:60 > runtask.sh.60
65	:	1689364738.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:65 > runtask.sh.65
64	:	1689364737.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:64 > runtask.sh.64
69	:	1689364742.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:69 > runtask.sh.69
67	:	1689364740.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:67 > runtask.sh.67
70	:	1689364743.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:70 > runtask.sh.70
71	:	1689364744.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:71 > runtask.sh.71
72	:	1689364745.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:72 > runtask.sh.72
75	:	1689364748.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:75 > runtask.sh.75
68	:	1689364741.000	    19.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:68 > runtask.sh.68
78	:	1689364751.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:78 > runtask.sh.78
74	:	1689364747.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:74 > runtask.sh.74
73	:	1689364746.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:73 > runtask.sh.73
77	:	1689364750.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:77 > runtask.sh.77
76	:	1689364749.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:76 > runtask.sh.76
80	:	1689364753.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:80 > runtask.sh.80
83	:	1689364756.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:83 > runtask.sh.83
79	:	1689364752.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:79 > runtask.sh.79
81	:	1689364754.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:81 > runtask.sh.81
86	:	1689364759.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:86 > runtask.sh.86
84	:	1689364757.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:84 > runtask.sh.84
82	:	1689364755.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:82 > runtask.sh.82
85	:	1689364758.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:85 > runtask.sh.85
87	:	1689364760.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:87 > runtask.sh.87
90	:	1689364763.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:90 > runtask.sh.90
89	:	1689364762.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:89 > runtask.sh.89
93	:	1689364766.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:93 > runtask.sh.93
95	:	1689364768.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:95 > runtask.sh.95
88	:	1689364761.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:88 > runtask.sh.88
92	:	1689364765.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:92 > runtask.sh.92
94	:	1689364767.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:94 > runtask.sh.94
99	:	1689364772.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:99 > runtask.sh.99
